Timestamp,Pedestrian_ID,Walking_Speed_mps,Direction_Degrees,Density_people_per_m2,Behavior,Age_Group,Peak_OffPeak,Vehicle_ID,Vehicle_Type,Vehicle_Speed_kmph,Vehicle_Acceleration_mps2,Near_Miss,Traffic_Violation,Weather,Temperature_C,Wind_Speed_mps,Visibility_m,Lighting_Condition,Road_Surface,Obstacle_Present,Traffic_Signal_Phase,Pedestrian_Signal,Signal_Duration_s,Response_to_Pedestrian,Vehicle_Count_per_min,Pedestrian_Count_per_min,Congestion_Level,Event_Type,Accident_Occurred,Accident_Severity
2024-09-17 20:15:45,6228,1.55,162,0.22,Waiting,Adult,Peak,9922,Car,48.95,2.14,0,Red Light Violation,Snow,31.9,8.32,211.4,Nighttime,Wet,0,Red,Don't Walk,74,1,45,16,High,Child Running,0,Minor
2024-04-24 18:33:07,5126,0.9,120,0.35,Group Crossing,Child,Off-Peak,5682,Car,44.62,1.47,0,Failed to Yield,Rain,12.8,0.8,582.24,Low-light,Dry,1,Green,Walk,81,0,50,17,Medium,Child Running,1,Fatal
2024-01-22 07:27:33,3846,0.64,180,1.97,Jaywalking,Child,Off-Peak,9007,Motorcycle,54.2,1.75,0,Failed to Yield,Snow,27.6,5.07,414.59,Low-light,Dry,1,Red,Don't Walk,11,0,14,13,Low,Emergency Vehicle,1,Fatal
2024-02-23 23:57:17,2178,0.99,141,1.18,Waiting,Child,Off-Peak,7665,Truck,23.4,-0.61,0,Red Light Violation,Snow,-1.9,2.34,853.82,Nighttime,Dry,1,Yellow,Don't Walk,17,0,47,9,High,Normal,0,Fatal
2024-02-26 00:31:41,9215,1.44,8,2.47,Jaywalking,Adult,Off-Peak,6512,Bicycle,27.42,0.12,1,Red Light Violation,Rain,12.0,5.19,730.79,Low-light,Snow-covered,0,Green,Walk,41,0,21,7,Low,Emergency Vehicle,0,Major
2024-07-18 01:05:31,4999,1.18,261,1.13,Normal,Elderly,Off-Peak,8727,Motorcycle,28.07,0.19,1,Failed to Yield,Rain,34.7,4.67,209.01,Nighttime,Wet,1,Yellow,Walk,17,0,30,13,High,Normal,0,Major
2024-01-31 11:57:47,4380,1.47,176,1.39,Normal,Child,Peak,6365,Motorcycle,53.38,1.94,1,Red Light Violation,Fog,21.7,3.03,154.73,Nighttime,Dry,1,Yellow,Don't Walk,88,1,29,17,Low,Normal,1,Minor
2024-12-08 21:51:10,2028,1.35,72,0.23,Group Crossing,Elderly,Peak,8864,Bus,59.96,2.93,0,Failed to Yield,Clear,33.5,9.15,429.73,Daytime,Wet,0,Green,Walk,78,0,30,8,Medium,Normal,1,Major
2024-03-21 11:44:48,8696,0.83,354,0.5,Jaywalking,Elderly,Peak,6126,Car,37.63,0.39,0,Red Light Violation,Clear,20.9,9.79,748.27,Daytime,Snow-covered,1,Green,Walk,68,1,48,1,Low,Normal,0,None
2024-09-03 21:20:25,8202,1.63,213,2.31,Normal,Elderly,Off-Peak,5925,Truck,30.98,-0.4,1,Failed to Yield,Fog,19.1,6.73,898.23,Nighttime,Wet,1,Green,Don't Walk,74,1,25,5,Low,Child Running,0,Major
2024-10-14 18:25:42,6917,0.71,128,1.0,Waiting,Elderly,Peak,6474,Bicycle,37.34,1.95,0,Red Light Violation,Clear,3.4,1.43,689.05,Daytime,Snow-covered,1,Green,Walk,59,0,10,15,High,Normal,0,None
2024-01-20 08:21:19,3768,1.79,334,2.03,Normal,Elderly,Peak,6841,Car,34.5,1.96,1,None,Clear,19.0,8.87,537.79,Low-light,Dry,0,Green,Don't Walk,83,0,8,10,Medium,Emergency Vehicle,1,Minor
2024-01-22 21:03:15,1619,0.59,57,0.45,Jaywalking,Adult,Off-Peak,9578,Truck,69.22,-0.24,1,Failed to Yield,Rain,18.0,2.38,199.08,Low-light,Snow-covered,1,Red,Walk,19,0,10,14,Low,Emergency Vehicle,1,Major
2024-02-13 07:32:58,2150,1.72,262,1.04,Group Crossing,Child,Peak,7539,Bicycle,43.0,-0.05,1,Failed to Yield,Clear,13.3,7.54,846.07,Low-light,Snow-covered,1,Yellow,Don't Walk,42,1,27,8,High,Emergency Vehicle,1,None
2024-02-17 09:08:36,7371,1.91,290,0.47,Group Crossing,Elderly,Peak,5893,Motorcycle,51.95,0.82,1,Failed to Yield,Fog,2.0,7.66,642.21,Daytime,Wet,0,Red,Don't Walk,13,1,7,9,Medium,Emergency Vehicle,0,Major
2024-02-16 17:28:04,8453,1.42,169,0.13,Normal,Child,Peak,8011,Car,15.45,-0.85,1,Failed to Yield,Clear,22.4,2.33,664.81,Daytime,Wet,1,Yellow,Don't Walk,68,0,46,14,Medium,Emergency Vehicle,1,None
2024-03-04 12:28:10,1496,0.87,231,1.27,Jaywalking,Elderly,Peak,9745,Truck,74.75,0.4,1,None,Rain,16.4,1.96,727.01,Nighttime,Wet,0,Green,Don't Walk,10,0,17,7,Medium,Normal,0,Major
2024-09-01 15:25:58,5048,1.64,47,1.31,Group Crossing,Child,Off-Peak,7586,Bus,46.17,1.63,0,Red Light Violation,Rain,12.9,8.9,628.33,Nighttime,Wet,1,Yellow,Walk,82,1,8,13,Low,Normal,0,Major
