User_ID,Age,Gender,Occupation,Preference,Preferred_Pickup_Time,Preferred_Dropoff_Time,Carpool_Willingness,Preferred_Route,Vehicle_Type,Historical_Ride_Patterns,Travel_Frequency,Cancellation_Rate,Traffic_Conditions,POI,Distance_Matrix,Optimal_Routes,Past_Rides,Real_Time_Request,Vehicle_Availability,Real_Time_Traffic,Historical_Traffic,Weather_Condition,Event,Fuel_Price,Ride_Match_Success,User_Satisfaction,Dynamic_Pricing,Wait_Times,Incident_Reports,Congestion_Hotspots
1,42,Male,Vlogger,Music,2024-03-19 08:51,2024-02-22 14:11,No,Route 13,Bus,121,Occasionally,0.01,Heavy,POI 48,39.72,Optimal Route 7,17,No,Busy,Congested,High,Snowy,Festival,1030.6,0.94,2.8,33.9,6,4,Hotspot 20
2,26,Female,Private Employee,Silent,2024-03-30 15:55,2024-01-15 09:39,Yes,Route 8,Bus,98,Occasionally,0.02,Heavy,POI 12,9.6,Optimal Route 5,72,Yes,Available,Congested,Medium,Snowy,Sports Event,1238.82,0.6,3.4,44.6,10,0,Hotspot 9
3,57,Female,Business Man,Music,2024-03-20 14:44,2024-02-15 15:33,No,Route 18,Motorbike,33,Occasionally,0.13,Heavy,POI 17,5.37,Optimal Route 3,333,Yes,Available,Congested,High,Cloudy,Festival,1316.74,0.88,1.9,22.08,4,3,Hotspot 5
4,38,Male,Private Employee,Conversation,2024-03-27 16:12,2024-03-25 14:51,Yes,Route 14,Motorbike,141,Occasionally,0.1,Moderate,POI 16,38.1,Optimal Route 10,140,Yes,Busy,Smooth,Low,Sunny,Sports Event,1224.24,0.92,1.5,5.98,10,5,Hotspot 18
5,24,Female,Doctor,Music,2024-03-23 21:03,2024-01-16 16:26,No,Route 6,SUV,19,Daily,0.42,Heavy,POI 18,46.39,Optimal Route 3,467,Yes,Available,Smooth,Medium,Snowy,Sports Event,1277.36,0.78,2.4,7.34,5,0,Hotspot 5
6,55,Female,Freelancer,Silent,2024-02-11 12:37,2024-01-14 22:39,No,Route 11,Motorbike,142,Weekly,0.26,Moderate,POI 30,7.21,Optimal Route 1,382,No,Available,Congested,High,Rainy,None,1027.11,0.54,3.3,39.98,13,3,Hotspot 8
7,41,Male,Vlogger,Smoking,2024-03-23 05:25,2024-03-06 06:47,No,Route 3,Electric,124,Daily,0.46,Moderate,POI 20,35.24,Optimal Route 7,378,No,Available,Congested,Medium,Sunny,Sports Event,1341.79,0.59,3.4,10.97,9,5,Hotspot 2
8,25,Male,Business Man,Music,2024-03-22 22:33,2024-03-28 08:41,Yes,Route 17,SUV,71,Weekly,0.44,Heavy,POI 18,44.0,Optimal Route 6,208,No,Busy,Congested,High,Cloudy,Festival,1327.19,0.53,2.6,43.61,3,0,Hotspot 14
9,28,Male,Private Employee,Silent,2024-02-09 10:03,2024-01-20 14:25,No,Route 6,Hatchback,66,Daily,0.48,Light,POI 31,36.11,Optimal Route 1,24,Yes,Available,Moderate,Medium,Rainy,Concert,1099.6,0.55,4.1,36.55,9,5,Hotspot 13
10,44,Female,Vlogger,Music,2024-02-01 07:13,2024-01-17 08:15,Yes,Route 1,SUV,90,Daily,0.01,Light,POI 1,8.33,Optimal Route 9,157,Yes,Busy,Smooth,High,Snowy,Festival,1386.27,0.5,3.8,21.13,11,2,Hotspot 12
11,59,Female,Private Employee,Conversation,2024-01-25 13:11,2024-01-26 11:44,No,Route 9,Auto,49,Daily,0.11,Moderate,POI 33,18.42,Optimal Route 3,480,No,Busy,Congested,Medium,Rainy,None,1488.46,0.67,2.9,12.21,5,2,Hotspot 11
12,47,Female,Teacher,Silent,2024-01-06 05:36,2024-02-15 04:36,Yes,Route 10,Electric,113,Weekly,0.4,Light,POI 23,20.97,Optimal Route 1,265,Yes,Available,Congested,High,Cloudy,None,1471.16,0.7,2.7,23.93,5,2,Hotspot 4
13,42,Male,Student,Silent,2024-03-25 18:34,2024-03-07 20:11,No,Route 19,Bus,38,Daily,0.18,Heavy,POI 49,40.33,Optimal Route 8,407,No,Available,Congested,Medium,Sunny,Concert,1433.64,0.53,3.9,36.15,9,5,Hotspot 7
14,43,Female,Doctor,Conversation,2024-03-22 15:38,2024-03-17 06:19,Yes,Route 10,Bus,31,Daily,0.32,Moderate,POI 36,41.19,Optimal Route 4,373,No,Busy,Smooth,High,Rainy,Sports Event,1147.08,0.79,1.6,34.69,3,0,Hotspot 9
15,45,Male,Driver,Music,2024-01-25 17:34,2024-01-26 03:53,Yes,Route 15,Bus,113,Daily,0.22,Moderate,POI 5,41.83,Optimal Route 7,141,Yes,Available,Congested,High,Cloudy,Sports Event,1104.09,0.72,3.8,19.05,6,2,Hotspot 19
16,64,Male,Teacher,Conversation,2024-02-15 14:02,2024-02-23 09:14,No,Route 4,SUV,105,Daily,0.11,Heavy,POI 33,18.85,Optimal Route 5,103,Yes,Available,Smooth,High,Snowy,Concert,1172.74,0.95,4.7,13.45,4,2,Hotspot 12
17,60,Female,Student,Non-Smoking,2024-02-22 05:50,2024-03-13 03:56,Yes,Route 1,Auto,21,Occasionally,0.34,Moderate,POI 4,19.85,Optimal Route 7,88,No,Available,Congested,Medium,Sunny,None,1273.17,0.55,1.6,36.72,6,5,Hotspot 16
18,63,Male,Vlogger,Music,2024-03-29 18:57,2024-01-22 07:34,No,Route 8,Auto,192,Daily,0.18,Moderate,POI 15,44.5,Optimal Route 10,209,No,Busy,Smooth,High,Rainy,None,1469.42,0.96,2.2,37.33,14,1,Hotspot 5
19,62,Female,Vlogger,Music,2024-01-20 04:09,2024-01-05 19:37,Yes,Route 10,Electric,22,Occasionally,0.1,Heavy,POI 2,11.16,Optimal Route 8,247,No,Busy,Smooth,Medium,Rainy,Sports Event,1390.92,0.93,1.4,11.56,12,5,Hotspot 10
20,26,Female,Business Woman,Music,2024-02-18 09:39,2024-03-21 08:49,Yes,Route 13,Hatchback,152,Occasionally,0.03,Light,POI 43,10.37,Optimal Route 1,475,No,Busy,Smooth,High,Cloudy,Festival,1374.95,0.74,3.4,25.03,13,1,Hotspot 3
21,33,Female,Driver,Music,2024-01-06 18:51,2024-01-16 23:42,No,Route 5,Auto,175,Daily,0.24,Light,POI 32,13.76,Optimal Route 2,97,Yes,Busy,Congested,Medium,Snowy,Festival,1491.06,0.7,3.9,24.46,8,1,Hotspot 6
22,26,Male,Vlogger,Silent,2024-03-06 21:36,2024-01-28 00:07,Yes,Route 20,Hatchback,15,Weekly,0.16,Light,POI 39,33.51,Optimal Route 7,292,Yes,Busy,Smooth,Low,Snowy,Sports Event,1183.09,0.81,4.8,32.05,14,0,Hotspot 13
23,18,Male,Driver,Conversation,2024-02-29 19:10,2024-02-28 16:16,Yes,Route 5,Auto,97,Daily,0.06,Heavy,POI 37,3.7,Optimal Route 6,31,Yes,Available,Moderate,Medium,Snowy,None,1408.9,0.97,2.1,8.26,11,1,Hotspot 17
24,21,Female,Engineer,Conversation,2024-01-18 01:36,2024-01-05 08:50,Yes,Route 2,Sedan,120,Daily,0.04,Heavy,POI 25,36.33,Optimal Route 4,330,No,Busy,Smooth,High,Cloudy,Festival,1022.06,0.82,2.6,25.37,13,5,Hotspot 4
